2025-12-03T08:38:55.224Z [sh]: Setting WiFi Regulatory domain to GB.
2025-12-03T08:38:55.277Z [sh]: /opt/secure/wifi/wpa_supplicant.conf file exists and configurations are present
2025-12-03T08:38:55.303Z [sh]: Country code is present , No need to change
2025-12-03T08:38:55.357Z [sh]: wowlan_triggers already present in /opt/secure/wifi/wpa_supplicant.conf, leaving as is
2025-12-03T08:38:55.244Z sh[3152]:  active
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724230: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=100
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724236: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=106
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724244: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=107
2025-12-03T08:38:55.748Z sh[3245]:  1764751135.724251: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=102
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724257: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724264: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=119
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724270: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=81
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724277: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=123
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724283: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=124
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724290: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=147
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724298: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=148
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724304: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=150
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724310: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=157
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724317: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724323: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=165
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724330: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=171
2025-12-03T08:38:55.749Z sh[3245]:  1764751135.724336: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=174
2025-12-03T08:38:55.750Z sh[3245]:  1764751135.724342: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=101
2025-12-03T08:38:55.765Z sh[3245]:  1764751135.724350: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.765Z sh[3245]:  1764751135.724356: nl80211: Supported vendor event: vendor_id=0x0 subcmd=0
2025-12-03T08:38:55.765Z sh[3245]:  1764751135.724362: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=64
2025-12-03T08:38:55.765Z sh[3245]:  1764751135.724369: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=182
2025-12-03T08:38:55.765Z sh[3245]:  1764751135.724375: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=187
2025-12-03T08:38:55.765Z sh[3245]:  1764751135.724381: nl80211: Supported vendor event: vendor_id=0x1374 subcmd=188
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.724414: nl80211: Use separate P2P group interface (driver advertised support)
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.724423: nl80211: Enable multi-channel concurrent (driver advertised support)
2025-12-03T08:38:55.766Z sh[3245]:  1764751135.728215: nl80211: DFS offload capability: 1
