Jan 16 01:31:49 dnsmasq[4577]: started, version 2.90 cachesize 400
Jan 16 01:31:49 dnsmasq[4577]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset no-nftset auth no-cryptohash no-DNSSEC loop-detect inotify dumpfile
Jan 16 01:39:15 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:16 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:16 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:16 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:16 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:17 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:35 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:35 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:35 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:35 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:35 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:35 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:35 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:35 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:37 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:37 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:37 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:37 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:41:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:41:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:42:01 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:42:01 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:42:12 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:42:12 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:42:12 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:42:12 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:42:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:42:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:14 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:15 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:15 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:15 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:16 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:16 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:30 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:42 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:43:45 dnsmasq[4577]: Poll listen presence mq
