Jan 15 02:46:34 dnsmasq[4549]: started, version 2.90 cachesize 400
Jan 15 02:46:34 dnsmasq[4549]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset no-nftset auth no-cryptohash no-DNSSEC loop-detect inotify dumpfile
Jan 16 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:43 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:43 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:49 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:49 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:46:55 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:47:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:47:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:47:34 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:07 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:08 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:19 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:19 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:19 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:19 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:19 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:19 dnsmasq[4549]: Poll listen presence mq
Jan 16 05:36:19 dnsmasq[4549]: Poll listen presence mq
Jan 16 08:14:42 dnsmasq[4549]: Poll listen presence mq
Jan 16 08:14:42 dnsmasq[4549]: Poll listen presence mq
Jan 16 08:14:42 dnsmasq[4549]: Poll listen presence mq
