2025-12-03T08:38:56.998Z bluetoothd[3410]:  ../bluez-5.48/profiles/battery/battery.c:batt_probe() BATT profile probe (20:44:41:00:12:6D)
2025-12-03T08:38:56.998Z bluetoothd[3410]:  ../bluez-5.48/src/service.c:change_state() 0xbaee0: device 20:44:41:00:12:6D profile batt-profile state changed: unavailable -> disconnected (0)
2025-12-03T08:38:56.998Z bluetoothd[3410]:  ../bluez-5.48/src/service.c:change_state() 0xbc5d0: device 20:44:41:00:12:6D profile deviceinfo state changed: unavailable -> disconnected (0)
2025-12-03T08:38:56.998Z bluetoothd[3410]:  ../bluez-5.48/profiles/gap/gas.c:gap_probe() GAP profile probe (20:44:41:00:12:6D)
2025-12-03T08:38:56.998Z bluetoothd[3410]:  ../bluez-5.48/src/service.c:change_state() 0xb88b0: device 20:44:41:00:12:6D profile gap-profile state changed: unavailable -> disconnected (0)
2025-12-03T08:38:56.998Z bluetoothd[3410]:  ../bluez-5.48/profiles/input/hog.c:hog_probe() path /org/bluez/hci0/dev_20_44_41_00_12_6D
2025-12-03T08:38:56.998Z bluetoothd[3410]:  ../bluez-5.48/src/service.c:change_state() 0xbb958: device 20:44:41:00:12:6D profile input-hog state changed: unavailable -> disconnected (0)
2025-12-03T08:38:56.998Z bluetoothd[3410]:  ../bluez-5.48/src/device.c:device_set_auto_connect() 20:44:41:00:12:6D auto connect: 1
2025-12-03T08:38:56.999Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_service_insert() /org/bluez/hci0
2025-12-03T08:38:56.999Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:add_uuid() sending add uuid command for index 0
2025-12-03T08:38:56.999Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_did() hci0 source 2 vendor 1d6b product 246 version 530
2025-12-03T08:38:56.999Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_register() Adapter /org/bluez/hci0 registered
2025-12-03T08:38:56.999Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_dev_class() sending set device class command for index 0
2025-12-03T08:38:56.999Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_name() sending set local name command for index 0
2025-12-03T08:38:56.999Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_mode() sending set mode command for index 0
2025-12-03T08:38:56.999Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:new_settings_callback() Settings: 0x000000c0
2025-12-03T08:38:57.000Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Changed settings: 0x00000040
2025-12-03T08:38:57.000Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Pending settings: 0x00000000
2025-12-03T08:38:57.000Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:new_settings_callback() Settings: 0x000002c0
2025-12-03T08:38:57.000Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Changed settings: 0x00000200
2025-12-03T08:38:57.000Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Pending settings: 0x00000000
2025-12-03T08:38:57.000Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:new_settings_callback() Settings: 0x00000ac0
2025-12-03T08:38:57.000Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Changed settings: 0x00000800
2025-12-03T08:38:57.000Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:settings_changed() Pending settings: 0x00000000
2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_privacy_complete() Successfuly set privacy for index 0
2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:load_link_keys_complete() link keys loaded for hci0
2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:load_ltks_complete() LTKs loaded for hci0
2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:load_irks_complete() IRKs loaded for hci0
2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:load_conn_params_complete() Connection Parameters loaded for hci0
2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:add_device_complete() 20:44:41:00:12:6D (1) added to kernel connect list
2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:local_name_changed_callback() Name: Sky
2025-12-03T08:38:57.001Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:local_name_changed_callback() Short name:
