2025-12-03T08:38:56.951Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:load_conn_params_complete() Connection Parameters loaded for hci0
2025-12-03T08:38:56.951Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:add_device_complete() 20:44:41:02:DC:C0 (1) added to kernel connect list
2025-12-03T08:38:56.951Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:local_name_changed_callback() Name: Sky
2025-12-03T08:38:56.951Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:local_name_changed_callback() Short name:
2025-12-03T08:38:56.951Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:local_name_changed_callback() Current alias: Sky
2025-12-03T08:38:56.951Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:new_settings_callback() Settings: 0x00000ad0
2025-12-03T08:38:56.952Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:settings_changed() Changed settings: 0x00000010
2025-12-03T08:38:56.952Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:settings_changed() Pending settings: 0x00000000
2026-01-15T02:46:39.017Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:property_set_mode() sending Set Powered command for index 0
2026-01-15T02:46:39.049Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:dev_class_changed_callback() Class: 0x000414
2026-01-15T02:46:39.057Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:property_set_mode_complete() Success (0x00)
2026-01-15T02:46:39.057Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:new_settings_callback() Settings: 0x00000ad1
2026-01-15T02:46:39.060Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:settings_changed() Changed settings: 0x00000001
2026-01-15T02:46:39.060Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:settings_changed() Pending settings: 0x00000000
2026-01-15T02:46:39.060Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:adapter_start() adapter /org/bluez/hci0 has been enabled
2026-01-15T02:46:39.060Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:trigger_passive_scanning()
2026-01-15T02:46:39.081Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:set_discovery_filter() sender :1.72
2026-01-15T02:46:39.081Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:parse_discovery_filter_dict() filtered discovery params: transport: 6 rssi: 32767 pathloss: 32767  duplicate data: false discoverable false
2026-01-15T02:46:39.083Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:set_discovery_filter() successfully pre-set filter
2026-01-15T02:46:39.090Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:property_set_mode() sending Set Bondable command for index 0
2026-01-15T02:46:39.090Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:property_set_mode_complete() Success (0x00)
2026-01-15T02:46:39.090Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:new_settings_callback() Settings: 0x00000ac1
2026-01-15T02:46:39.090Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:settings_changed() Changed settings: 0x00000010
2026-01-15T02:46:39.091Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:settings_changed() Pending settings: 0x00000000
2026-01-15T02:46:39.136Z bluetoothd[3416]:  ../bluez-5.48/src/device.c:device_connect_le() Connection attempt to: 20:44:41:02:DC:C0
2026-01-15T02:46:39.519Z bluetoothd[3416]:  ../bluez-5.48/profiles/audio/avdtp.c:avdtp_register_sep() SEP 0xc7300 registered: type:0 codec:0 seid:1
2026-01-15T02:46:39.519Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:adapter_service_add() /org/bluez/hci0
2026-01-15T02:46:39.519Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Adding record with handle 0x10003
2026-01-15T02:46:39.520Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000019-0000-1000-8000-00805f9
2026-01-15T02:46:39.520Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000100-0000-1000-8000-00805f9
2026-01-15T02:46:39.520Z bluetoothd[3416]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00001002-0000-1000-8000-00805f9
